electrolyte,electrolyte_type,cation,anion,molecule_formula,std_dev_simplified,ref_simplified,max_molality_simplified,std_dev_original,ref_original,max_molality_original,r_M_angstrom,r_X_angstrom,cation_type,anion_type,anion_1_delta_G_formation,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_n_elements,anion_1_radius_hydrated,anion_1_radius_vdw,anion_1_viscosity_jones_dole,cation_1_delta_G_formation,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_n_elements,cation_1_radius_hydrated,cation_1_radius_vdw,cation_1_viscosity_jones_dole,molecule_molecular_weight,molecule_n_atoms,molecule_n_elements,molecule_radius_vdw,cation_type_numeric,anion_type_numeric,electrolyte_type_numeric,B_MX_0_simplified,B_MX_1_simplified,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original
AgNO3,1-1,Ag^+1,NO3^-1,3.0,0.01,28,5.0,0.001,9,6.0,1.15,1.79,c,c,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.55,-0.043,0.0,-492.0,1.648e-05,107.8682,1.0,1.0,3.41,2.11,0.09,169.8731,5.0,3.0,2.11,0,0,11,-0.0576,-0.1489,-0.0856,0.0025,0.0,0.0059
CsBr,1-1,Cs^+1,Br^-1,3.0,0.003,28,5.0,0.002,9,5.0,1.7,1.96,c,c,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.85,-0.033,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,3.43,-0.047,212.8094519,2.0,2.0,3.43,0,0,11,0.0276,0.0195,0.0279,0.0139,0.0,0.0
CsCl,1-1,Cs^+1,Cl^-1,3.0,0.004,28,8.5,0.002,9,5.0,1.7,1.81,c,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,3.43,-0.047,168.3584519,2.0,2.0,3.43,0,0,11,0.0307,0.0717,0.03,0.0558,0.0,0.0004
CsCl,1-1,Cs^+1,Cl^-1,3.0,0.004,28,8.5,0.002,9,5.0,1.7,1.81,c,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,3.43,-0.047,168.3584519,2.0,2.0,3.43,0,0,11,0.0307,0.0717,0.03,0.0558,0.0,0.0004
CsF,1-1,Cs^+1,F^-1,3.0,0.004,28,3.5,0.002,9,3.5,1.7,1.33,c,k,0.0,-425.0,1.475e-05,18.9984032,1.0,1.0,3.52,1.47,0.107,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,3.43,-0.047,151.9038551,2.0,2.0,3.43,0,1,11,0.1138,0.3346,0.1306,0.257,0.0,-0.0043
CsI,1-1,Cs^+1,I^-1,3.0,0.002,28,3.0,0.001,9,3.0,1.7,2.2,c,c,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,1.98,-0.073,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,3.43,-0.047,259.8099219,2.0,2.0,3.43,0,0,11,0.0121,0.1124,0.0244,0.0262,0.0,-0.0037
CsNO2,1-1,Cs^+1,NO2^-1,2.0,0.006,39,5.0,0.004,9,6.0,1.7,1.92,c,c,0.0,-340.0,1.912e-05,46.0055,3.0,2.0,3.35,1.55,-0.005,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,3.43,-0.047,178.9109519,4.0,3.0,3.43,0,0,11,0.0203,0.1518,0.0427,0.06,0.0,-0.0051
CsNO3,1-1,Cs^+1,NO3^-1,3.0,0.003,28,1.5,0.002,9,1.4,1.7,1.79,c,c,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.55,-0.043,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,3.43,-0.047,194.9103519,5.0,3.0,3.43,0,0,11,-0.0741,-0.0794,-0.0758,-0.0669,0.0,0.0
CsOH,1-1,Cs^+1,OH^-1,3.0,0.001,28,1.2,0.002,9,1.2,1.7,1.33,c,k,0.0,-428.0,5.273e-05,17.00734,2.0,2.0,3.0,1.52,0.122,0.0,-310.0,1.334e-05,132.9054519,1.0,1.0,3.29,3.43,-0.047,149.9127919,3.0,3.0,3.43,0,1,11,0.1313,0.4219,0.15,0.3,0.0,0.0
HBr,1-1,H^+1,Br^-1,3.0,0.004,28,3.0,0.002,9,3.0,0.3,1.96,k,c,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.85,-0.033,0.0,-1108.0,9.311e-05,1.00794,1.0,1.0,3.58,1.1,0.068,80.91194,2.0,2.0,1.1,1,0,11,0.218,0.2692,0.196,0.3564,0.0,0.0083
HCl,1-1,H^+1,Cl^-1,3.0,0.006,28,8.0,0.002,9,6.0,0.3,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1108.0,9.311e-05,1.00794,1.0,1.0,3.58,1.1,0.068,36.46094,2.0,2.0,1.1,1,0,11,0.1788,0.2936,0.1775,0.2945,0.0,0.0008
HClO4,1-1,H^+1,ClO4^-1,4.0,0.017,28,5.5,0.002,9,5.5,0.3,2.25,k,c,0.0,-185.0,1.792e-05,99.4506,5.0,2.0,3.38,1.75,-0.058,0.0,-1108.0,9.311e-05,1.00794,1.0,1.0,3.58,1.1,0.068,100.45854,6.0,3.0,1.1,1,0,11,0.2133,0.0306,0.1747,0.2931,0.0,0.0082
HI,1-1,H^+1,I^-1,3.0,0.004,28,4.0,0.002,9,3.0,0.3,2.2,k,c,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,1.98,-0.073,0.0,-1108.0,9.311e-05,1.00794,1.0,1.0,3.58,1.1,0.068,127.91241,2.0,2.0,1.1,1,0,11,0.2373,0.4291,0.2362,0.392,0.0,0.0011
HNO3,1-1,H^+1,NO3^-1,3.0,0.006,28,3.5,0.001,9,3.0,0.3,1.79,k,c,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.55,-0.043,0.0,-1108.0,9.311e-05,1.00794,1.0,1.0,3.58,1.1,0.068,63.01284,5.0,3.0,1.1,1,0,11,0.0995,0.4008,0.1119,0.3206,0.0,0.001
KBr,1-1,K^+1,Br^-1,3.0,0.003,28,5.5,0.001,9,5.5,1.38,1.96,c,c,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.85,-0.033,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,2.75,-0.009,119.0023,2.0,2.0,2.75,0,0,11,0.0485,0.2805,0.0569,0.2212,0.0,-0.0018
KBrO3,1-1,K^+1,BrO3^-1,3.0,0.002,28,0.5,0.001,9,0.5,1.38,1.91,c,c,0.0,-304.0,1.483e-05,127.9022,4.0,2.0,3.51,1.85,0.009,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,2.75,-0.009,167.0005,5.0,3.0,2.75,0,0,11,-0.1221,0.2435,-0.129,0.2565,0.0,0.0
KCl,1-1,K^+1,Cl^-1,3.0,0.001,28,4.84,0.0005,9,4.8,1.38,1.81,c,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,2.75,-0.009,74.5513,2.0,2.0,2.75,0,0,11,0.0451,0.2268,0.0484,0.2122,0.0,-0.0008
