name,charge,ion_size,mole_weight
(UO2)11(CO3)6(OH)12--,-2,500.0,3534.4475
(UO2)2(OH)2++,2,500.0,574.07
(UO2)2CO3(OH)3-,-1,500.0,651.0865
(UO2)2NpO2(CO3)6------,-6,500.0,1169.1094
(UO2)2OH+++,3,500.0,557.0627
(UO2)2PuO2(CO3)6------,-6,500.0,1176.1094
(UO2)3(CO3)6------,-6,500.0,1170.1383
(UO2)3(OH)4++,2,500.0,878.1123
(UO2)3(OH)5+,1,500.0,895.1196
(UO2)3(OH)7-,-1,500.0,929.1342
(UO2)3O(OH)2(HCO3)+,1,500.0,921.1142
(UO2)4(OH)7+,1,500.0,1199.1619
AlF++,2,500.0,45.9799
AlF2+,1,500.0,64.9783
AlF3(aq),0,500.0,83.9767
AlF4-,-1,500.0,102.9751
AlO+,1,500.0,42.9809
AlO2-,-1,500.0,58.9803
AlOH++,2,500.0,43.9888
Am(CO3)+,1,500.0,303.0092
Am(CO3)2-,-1,500.0,363.0184
Am(CO3)3---,-3,500.0,423.0276
Am(CO3)4-----,-5,500.0,483.0368
Am(H2PO4)++,2,500.0,339.9872
Am(NO3)++,2,500.0,305.0049
Am(OH)++,2,500.0,260.0073
Am(OH)2+,1,500.0,277.0146
Am(OH)3(aq),0,500.0,294.0219
Am(SO4)+,1,500.0,339.0636
Am(SO4)2-,-1,500.0,435.1272
AmCl++,2,500.0,278.4527
AmCl2+,1,500.0,313.9054
AmF++,2,500.0,261.9984
AmF2+,1,500.0,280.9968
B(OH)4-,-1,500.0,78.8402
B3O3(OH)4-,-1,500.0,148.4604
B4O5(OH)4--,-2,500.0,191.2702
CaB(OH)4+,1,500.0,118.9182
CaCl+,1,500.0,75.5307
CaCl2(aq),0,500.0,110.9834
CaCO3(aq),0,500.0,100.0872
CaOH+,1,500.0,57.0853
CaSO4(aq),0,500.0,136.1416
Cm(CO3)+,1,500.0,307.0092
Cm(CO3)2-,-1,500.0,367.0184
Cm(CO3)3---,-3,500.0,427.0276
Cm(CO3)4-----,-5,500.0,487.0368
Cm(OH)++,2,500.0,264.0073
Cm(OH)2+,1,500.0,281.0146
Cm(OH)3(aq),0,500.0,298.0219
Cm(SO4)+,1,500.0,343.0636
Cm(SO4)2-,-1,500.0,439.1272
CmCl++,2,500.0,282.4527
CmCl2+,1,500.0,317.9054
CO2(aq),0,500.0,44.0098
CO3--,-2,500.0,60.0092
Cr(OH)++,2,500.0,69.0034
Cr(OH)2+,1,500.0,86.0107
Cr(OH)3(aq),0,500.0,103.018
Cr(OH)4-,-1,500.0,120.0253
Cr2O2(OH)4--,-2,500.0,204.0202
Cr2O7--,-2,500.0,215.988
CrBr++,2,500.0,131.9001
Fe(CO3)2--,-2,500.0,175.8654
Fe(OH)2(aq),0,500.0,89.8616
Fe(OH)2+,1,500.0,89.8616
Fe(OH)3(aq),0,500.0,106.8689
Fe(OH)4-,-1,500.0,123.8762
Fe(SO4)2-,-1,500.0,247.9742
FeCl+,1,500.0,91.2997
FeCl++,2,500.0,91.2997
FeCl2+,1,500.0,126.7524
FeCO3(aq),0,500.0,115.8562
FeF+,1,500.0,74.8454
FeF++,2,500.0,74.8454
FeF2+,1,500.0,93.8438
FeHCO3+,1,500.0,116.8641
FeOH+,1,500.0,72.8543
FeOH++,2,500.0,72.8543
FeSO4+,1,500.0,151.9106
H2CrO4(aq),0,500.0,118.0095
H2PO4-,-1,500.0,96.9872
H3PO4(aq),0,500.0,97.9951
HAlO2(aq),0,500.0,59.9882
HCrO4-,-1,500.0,117.0016
HSiO3-,-1,500.0,77.0916
HSO4-,-1,500.0,97.0715
HUO4-,-1,500.0,303.0344
MgB(OH)4+,1,500.0,103.1452
MgCO3(aq),0,500.0,84.3142
MgHCO3+,1,500.0,85.3221
MgOH+,1,500.0,41.3123
Nd(CO3)+,1,500.0,204.2492
Nd(CO3)2-,-1,500.0,264.2584
Nd(CO3)3---,-3,500.0,324.2676
Nd(CO3)4-----,-5,500.0,384.2768
Nd(OH)++,2,500.0,161.2473
Nd(OH)2+,1,500.0,178.2546
Nd(OH)3(aq),0,500.0,195.2619
Nd(SO4)+,1,500.0,240.3036
Nd(SO4)2-,-1,500.0,336.3672
NdCl++,2,500.0,179.6927
NdCl2+,1,500.0,215.1454
NH3(aq),0,500.0,17.0304
Ni(OH)+,1,500.0,75.7007
Ni(OH)2(aq),0,500.0,92.708
Ni(OH)3-,-1,500.0,109.7153
Ni(OH)4--,-2,500.0,126.7226
NiBr+,1,500.0,138.5974
NiCO3(aq),0,500.0,118.7026
NiCrO4(aq),0,500.0,174.6871
NiF+,1,500.0,77.6918
NiH2PO4+,1,500.0,155.6806
NiHCO3+,1,500.0,119.7105
NiHP2O7-,-1,500.0,233.6447
NiHPO4(aq),0,500.0,154.6727
NiNO3+,1,500.0,120.6983
NiP2O7--,-2,500.0,232.6368
NiPO4-,-1,500.0,153.6648
Np(OH)2++,2,500.0,271.0146
Np(OH)3+,1,500.0,288.0219
Np(OH)4(aq),0,500.0,305.0292
NpO2(CO3)2---,-3,500.0,389.0172
NpO2(CO3)3-----,-5,500.0,449.0264
NpO2(OH)2-,-1,500.0,303.0134
NpO2CO3-,-1,500.0,329.008
NpO2OH(aq),0,500.0,286.0061
NpOH+++,3,500.0,254.0073
OH-,-1,500.0,17.0073
PO4---,-3,500.0,94.9714
Pu(CO3)+,1,500.0,304.0092
Pu(CO3)2-,-1,500.0,364.0184
Pu(CO3)3---,-3,500.0,424.0276
Pu(CO3)4-----,-5,500.0,484.0368
Pu(OH)++,2,500.0,261.0073
Pu(OH)+++,3,500.0,261.0073
Pu(OH)2+,1,500.0,278.0146
Pu(OH)2++,2,500.0,278.0146
Pu(OH)3(aq),0,500.0,295.0219
Pu(OH)3+,1,500.0,295.0219
Pu(OH)4(aq),0,500.0,312.0292
Pu(SO4)+,1,500.0,340.0636
Pu(SO4)2-,-1,500.0,436.1272
PuCl++,2,500.0,279.4527
PuCl2+,1,500.0,314.9054
PuO2(CO3)2--,-2,500.0,396.0172
PuO2(CO3)3----,-4,500.0,456.0264
PuO2CO3(aq),0,500.0,336.008
Th(CO3)5------,-6,500.0,532.0841
Th(OH)+++,3,500.0,249.0454
Th(OH)2++,2,500.0,266.0527
Th(OH)3+,1,500.0,283.06
Th(OH)4(aq),0,500.0,300.0673
Th(SO4)2(aq),0,500.0,424.1653
Th(SO4)3--,-2,500.0,520.2289
Th(SO4)4----,-4,500.0,616.2925
Th2(OH)2++++++,6,500.0,498.0908
Th4(OH)12++++,4,500.0,1132.24
Th4(OH)8++++++++,8,500.0,1064.2108
Th6(OH)15+++++++++,9,500.0,1647.3381
U(OH)2++,2,500.0,272.0435
U(OH)3+,1,500.0,289.0508
U(OH)4(aq),0,500.0,306.0581
UO2(CO3)2--,-2,500.0,390.0461
UO2(CO3)3----,-4,500.0,450.0553
UO2Cl+,1,500.0,305.4804
UO2CO3(aq),0,500.0,330.0369
UO2OH+,1,500.0,287.035
UO3(aq),0,500.0,286.0271
UO4--,-2,500.0,302.0265
UOH+++,3,500.0,255.0362
