name,charge,ion_size,mole_weight
H2O,0,500.0,18.0152
Al+++,3,500.0,26.9815
Am+++,3,500.0,243.0
B(OH)3(aq),0,500.0,61.8329
Ba++,2,500.0,137.327
Br-,-1,500.0,79.904
Ca++,2,500.0,40.078
Cl-,-1,500.0,35.4527
Cm+++,3,500.0,247.0
Co++,2,500.0,58.9332
Cr+++,3,500.0,51.9961
Cs+,1,500.0,132.9054
Cu++,2,500.0,63.546
F-,-1,500.0,18.9984
Fe++,2,500.0,55.847
Gd+++,3,500.0,157.25
H+,1,500.0,1.0079
HCO3-,-1,500.0,61.0171
HPO4--,-2,500.0,95.9793
I-,-1,500.0,126.9045
K+,1,500.0,39.0983
Li+,1,500.0,6.941
Mg++,2,500.0,24.305
Mn++,2,500.0,54.938
MoO4--,-2,500.0,159.9376
Na+,1,500.0,22.9898
Nd+++,3,500.0,144.24
Ni++,2,500.0,58.6934
NO3-,-1,500.0,62.0049
NpO2+,1,500.0,268.9988
O2(aq),0,500.0,31.9988
PuO2+,1,500.0,275.9988
Rb+,1,500.0,85.4678
SiO2(aq),0,500.0,60.0843
SO4--,-2,500.0,96.0636
Sr++,2,500.0,87.62
TcO4-,-1,500.0,162.9976
Th++++,4,500.0,232.0381
UO2++,2,500.0,270.0277
Zn++,2,500.0,65.39
Zr++++,4,500.0,91.224
