name,symbol,mole_weight
Aluminium,Al,26.9815
Americium,Am,243.0
Barium,Ba,137.327
Bromine,Br,79.904
Calcium,Ca,40.078
Chlorine,Cl,35.4527
Curium,Cm,247.0
Cobalt,Co,58.9332
Chromium,Cr,51.9961
Cesium,Cs,132.9054
Copper,Cu,63.546
Iron,Fe,55.847
Gadolinium,Gd,157.25
Lithium,Li,6.941
Magnesium,Mg,24.305
Manganese,Mn,54.938
Molybdenum,Mo,95.94
Sodium,Na,22.9898
Neodymium,Nd,144.24
Nickel,Ni,58.6934
Neptunium,Np,237.0
Plutonium,Pu,244.0
Rubidium,Rb,85.4678
Silicon,Si,28.0855
Strontium,Sr,87.62
Technetium,Tc,99.0
Thorium,Th,232.0381
Zinc,Zn,65.39
Zirconium,Zr,91.224
