name,formula,mole_vol,mole_weight
(NH4)2SO4                          type=,(NH4)2SO4,0.0,
Albite                             type= silicate,AlNaO8Si3,100.25,
Alunite                            type= sulfate,Al3H6KO14S2,293.6,
Am(OH)3                            type=,Am(OH)3,0.0,
Am(OH)3(am)                        type= hydroxide,Am(OH)3,0.0,
Am2(CO3)3                          type= carbonate,Am2(CO3)3,0.0,
Am2O3                              type= oxide,Am2O3,0.0,
AmCl3                              type= halide,AmCl3,0.0,
Americium                          type= native,Am,17.71,
Amesite-14A                        type= silicate,Al4H8Mg4O18Si2,205.4,
Amesite-7A                         type= silicate,Al2H4Mg2O9Si,103.0,
AmF3                               type=,AmF3,0.0,
AmF4                               type=,AmF4,0.0,
AmO2                               type= oxide,AmO2,0.0,
AmOCl                              type=,AmOCl,0.0,
AmOHCO3                            type=,AmOHCO3,0.0,
AmPO4(am)                          type=,AmPO4,0.0,
Analcime                           type= silicate,Al0.96H2Na0.96O7Si2.04,0.0,
Analcime-dehy                      type= silicate,Al0.96Na0.96O6Si2.04,89.1,
Anhydrite                          type= sulfate,CaSO4,45.94,
Antarcticite                       type= chloride,CaCl2:6H2O,0.0,
Antigorite(am)                     type=,Mg3Si2O5(OH)4,0.0,
Aragonite                          type= carbonate,CaCO3,34.15,
Arcanite                           type= sulfate,K2SO4,65.5,
Artinite                           type= carbonate,Mg2CO3(OH)2:3H2O,96.9,
Barite                             type= sulfate,BaSO4,52.1,
Beidellite-Ca                      type= silicate,Al2.33H2Ca0.165O12Si3.67,129.766,
Beidellite-H                       type= silicate,Al2.33H2.33O12Si3.67,128.913,
Beidellite-K                       type= silicate,Al2.33H2K0.33O12Si3.67,134.152,
Beidellite-Mg                      type= silicate,Al2.33H2Mg0.165O12Si3.67,128.725,
Beidellite-Na                      type= silicate,Al2.33H2Na0.33O12Si3.67,130.727,
Bieberite                          type=,CoSO4:7H2O,144.3,
Bischofite                         type= chloride,MgCl2:6H2O,129.57,
Bloedite                           type= sulfate,Na2Mg(SO4)2:4H2O,149.98,
Boehmite                           type=,AlO2H,19.535,
Boltwoodite-Na                     type=,NaUO2SiO3OH:1.5H2O,97.04,
Borax                              type= borate,Na2B4O5(OH)4:8H2O,0.0,
Boric_acid                         type=,B(OH)3,0.0,
Brucite                            type= hydroxide,Mg(OH)2,24.63,
Brushite                           type=,CaH5PO6,74.63,
Burkeite                           type=,Na6CO3(SO4)2,151.19,
Ca(NO3)2                           type=,CaN2O6,0.0,
Ca(NO3)2:2H2O                      type=,CaH4N2O8,0.0,
Ca(NO3)2:3H2O                      type=,CaH6N2O9,0.0,
Ca(NO3)2:4H2O                      type=,CaH8N2O10,0.0,
Ca(UO2)6O4(OH)6:8H2O               type=,Ca(UO2)6O4(OH)6:8H2O,66.08,
Ca2Cl2(OH)2:H2O                    type=,Ca2Cl2H4O3,0.0,
Ca4Cl2(OH)6:13H2O                  type=,Ca4Cl2H32O19,0.0,
CaBr2                              type=,CaBr2,0.0,
CaCl2                              type= halide,CaCl2,0.0,
CaCl2:2H2O                         type= halide,CaCl2H4O2,0.0,
CaCl2:4H2O                         type= halide,CaCl2H8O4,0.0,
CaI2                               type=,CaI2,0.0,
Calcite                            type= carbonate,CaCO3,36.934,
Carnallite                         type= halide,KMgCl3:6H2O,172.58,
Carobbite                          type=,KF,0.0,
Celadonite                         type= silicate,AlH2KMgO12Si4,157.1,
Celestite                          type= sulfate,SrSO4,46.25,
Chabazite                          type=,Al3.8Ca1.5Na0.2H20O34Si8.2K0.6,499.4,
Chamosite-7A                       type=,Al2Fe2H4O9Si,106.2,
Chloromagnesite                    type= halide,MgCl2,0.0,
Chromium                           type= native,Cr,7.231,
Clinoptilolite                     type=,,632.05,
Clinoptilolite_Ca                  type=,,632.05,
Clinoptilolite_Cs                  type=,,632.05,
Clinoptilolite_dehy                type=,,0.0,
Clinoptilolite_K                   type=,,632.05,
Clinoptilolite_Na                  type=,,632.05,
Clinoptilolite_NH4                 type=,,0.0,
Clinoptilolite_Sr                  type=,,632.05,
Co(OH)2                            type=,Co(OH)2,24.74,
Co2SiO4                            type=,Co2SiO4,44.52,
Co3(PO4)2                          type=,Co3(PO4)2,141.76,
Cobalt                             type= native,Co,6.67,
CoCl2                              type= halide,CoCl2,38.69,
CoCl2:2H2O                         type= halide,CoCl2:2H2O,66.61,
CoCl2:6H2O                         type= halide,CoCl2:6H2O,123.66,
CoCr2O4                            type= oxide,CoCr2O4,0.0,
CoF2                               type= halide,CoF2,21.73,
CoFe2O4                            type= oxide,CoFe2O4,0.0,
CoHPO4                             type=,CoHPO4,0.0,
CoO                                type= oxide,CoO,0.0,
Copper                             type= native,Cu,7.113,
CoSO4:3Co(OH)2                     type=,CoSO4:3Co(OH)2,0.0,
CoSO4:6H2O                         type=,CoSO4:6H2O,130.3,
Cr(OH)3(am)                        type= hydroxide,Cr(OH)3,0.0,
CrCl3:6H2O                         type= halide,CrCl3:6H2O,0.0,
CrF3                               type=,CrF3,28.68,
Cristobalite(alpha)                type= oxide,SiO2,25.74,
CrO3                               type= oxide,CrO3,35.14,
Cronstedtite-7A                    type=,Fe2Fe2SiO5(OH)4,110.9,
Cryolite                           type=,Na3AlF6,0.0,
CsClO4                             type=,CsClO4,0.0,
CsTcO4                             type=,CsTcO4,0.0,
Cu3(PO4)2                          type=,Cu3(PO4)2,84.517,
CuCl2:2H2O                         type= halide,CuCl2:2H2O,0.0,
CuCr2O4                            type=,CuCr2O4,42.74,
CuSO4.K2SO4:6H2O                   type=,CuSO4.K2SO4:6H2O,0.0,
CuSO4.Na2SO4:2H2O                  type=,CuSO4.Na2SO4:2H2O,0.0,
CuSO4:5H2O                         type=,CuSO4:5H2O,0.0,
Daphnite-14A                       type=,,213.42,
Daphnite-7A                        type=,,221.2,
Dawsonite                          type=,NaAlCO3(OH)2,0.0,
Dolomite                           type= carbonate,CaMg(CO3)2,64.365,
Epsomite                           type= sulfate,MgSO4:7H2O,146.8,
Erionite                           type=,K1.5Na0.9Ca0.9Al4.2Si13.8O36:13.0H2O,672.0,
Eskolaite                          type= oxide,Cr2O3,29.09,
Fe(OH)2                            type= hydroxide,Fe(OH)2,26.43,
Fe(OH)3                            type= hydroxide,Fe(OH)3,34.36,
Fe2(MoO4)3                         type=,Fe2(MoO4)3,131.85,
Fe2(SO4)3                          type=,Fe2(SO4)3,130.77,
FeF2                               type=,FeF2,22.94,
FeF3                               type=,FeF3,32.06,
FeO                                type= oxide,FeO,12.0,
Ferrite-Ca                         type=,CaFe2O4,44.98,
Ferrite-Cu                         type=,CuFe2O4,44.53,
Ferrite-Dicalcium                  type=,Ca2Fe2O5,67.18,
Ferrite-Mg                         type=,MgFe2O4,44.57,
Ferrite-Ni                         type=,NiFe2O4,0.0,
Ferrite-Zn                         type=,ZnFe2O4,45.23,
Ferroaluminoceladonite             type=,KFeAlSi4O10(OH)2,153.678,
Ferroceladonite                    type=,KFeFeSi4O10(OH)2,156.72,
FeSO4                              type= sulfate,FeSO4,41.58,
Fluorapatite                       type=,Ca5(PO4)3F,160.0,
Fluorite                           type=,CaF2,24.542,
Gadolinium                         type= native,Gd,19.89,
Gaylussite                         type= carbonate,CaNa2(CO3)2:5H2O,148.15,
Gd(OH)3                            type=,Gd(OH)3,0.0,
Gd(OH)3(am)                        type=,Gd(OH)3,0.0,
Gd2(CO3)3                          type= carbonate,Gd2(CO3)3,0.0,
Gd2O3                              type= oxide,Gd2O3,0.0,
GdF3:0.5H2O                        type=,GdF3:0.5H2O,0.0,
GdPO4:10H2O                        type=,GdPO4:10H2O,0.0,
Gibbsite                           type=,Al(OH)3,31.956,
Glaserite                          type=,NaK3(SO4)2,246.23,
Glauberite                         type= sulfate,Na2Ca(SO4)2,101.12,
Goethite                           type=,FeOOH,20.82,
Greenalite                         type=,Fe3Si2O5(OH)4,115.0,
Gypsum                             type= sulfate,CaSO4:2H2O,74.69,
Halite                             type= halide,NaCl,27.015,
Hausmannite                        type= oxide,Mn3O4,0.0,
Hematite                           type=,Fe2O3,30.274,
Hemihydrate                        type= sulfate,CaSO4:0.5H2O,0.0,
Heulandite                         type=,Fe3Si2O5(OH)4,0.0,
Hexahydrite                        type= sulfate,MgSO4:6H2O,132.58,
Huntite                            type= carbonate,CaMg3(CO3)4,122.9,
Hydromagnesite                     type=,Mg5(CO3)4(OH)2:4H2O,208.0,
Hydroxylapatite                    type=,Ca5HO13P3,163.0,
Hydrozincite                       type=,Zn5(CO3)2(OH)6,0.0,
Illite                             type=,K0.6Mg0.25Al1.8Al0.5Si3.5O10(OH)2,139.346,
Iron                               type= native,Fe,7.092,
Jarosite                           type=,KFe3(SO4)2(OH)6,156.75,
Jarosite-Na                        type=,NaFe3(SO4)2(OH)6,168.42,
K-Feldspar                         type=,KAlSi3O8,108.87,
K2B4O7:4H2O                        type= borate,K2B4O7:4H2O,0.0,
K2CO3                              type= carbonate,K2CO3,80.88,
K2CO3:1.5H2O                       type= carbonate,K2CO3:1.5H2O,0.0,
K2HPO4                             type=,K2HPO4,0.0,
K2O                                type= oxide,K2O,0.0,
K2Si4O9                            type=,K2Si4O9,0.0,
K3AlCl6                            type=,K3AlCl6,0.0,
K3AlF6                             type=,K3AlF6,0.0,
K3H(SO4)2                          type=,K3H(SO4)2,0.0,
K3NpO2(CO3)2                       type=,K3NpO2(CO3)2,0.0,
K3PO4                              type=,K3PO4,0.0,
K8H4(CO3)6:3H2O                    type= carbonate,K8H4(CO3)6:3H2O,0.0,
Kainite                            type= sulfate,KMgClSO4:3H2O,115.3,
KAl(SO4)2                          type= sulfate,KAl(SO4)2,0.0,
KAl(SO4)2:12H2O                    type= sulfate,KAl(SO4)2:12H2O,0.0,
KAl(SO4)2:3H2O                     type= sulfate,KAl(SO4)2:3H2O,0.0,
KAlCl4                             type=,KAlCl4,0.0,
Kalicinite                         type= carbonate,KHCO3,46.14,
Kaolinite                          type=,Al2Si2O5(OH)4,99.52,
KB5O8:4H2O                         type= borate,KB5O8:4H2O,0.0,
KBr                                type=,KBr,0.0,
KClO4                              type=,KClO4,0.0,
KFe3(CrO4)2(OH)6                   type=,KFe3(CrO4)2(OH)6,0.0,
KH2PO4                             type=,KH2PO4,0.0,
KI                                 type=,KI,0.0,
Kieserite                          type= sulfate,MgSO4:H2O,56.6,
KMgCl3:2H2O                        type= halide,KMgCl3:2H2O,0.0,
KNaCO3:6H2O                        type= carbonate,KNaCO3:6H2O,0.0,
KNpO2CO3                           type=,KNpO2CO3,0.0,
Kogarkoite                         type=,Na3SO4F,0.0,
KOH                                type=,KOH,0.0,
KTcO4                              type=,KTcO4,0.0,
Labile_Salt                        type= sulfate,Na2Ca5(SO4)6:3H2O,0.0,
Lansfordite                        type= carbonate,MgCO3:5H2O,100.8,
Laumontite                         type=,K0.2Na0.2Ca1.8Al4Si8.0O24:8.0H2O,406.4,
Lawrencite                         type= halide,FeCl2,40.085,
Leonhardtite                       type=,MgSO4:4H2O,95.74,
