name,charge,ion_size,mole_weight
Am++,2,500.0,243.0
Am++++,4,500.0,243.0
AmO2+,1,500.0,274.9988
AmO2++,2,500.0,274.9988
BH4-,-1,500.0,14.8426
ClO4-,-1,500.0,99.4503
CrO4--,-2,500.0,115.9937
Fe+++,3,500.0,55.847
H2(aq),0,500.0,2.0158
HPO3--,-2,500.0,79.9799
HS-,-1,500.0,33.0739
Mn+++,3,500.0,54.938
MnO4--,-2,500.0,118.9356
NH4+,1,500.0,18.0383
NO2-,-1,500.0,46.0055
Np+++,3,500.0,237.0
Np++++,4,500.0,237.0
NpO2++,2,500.0,268.9988
Pu+++,3,500.0,244.0
Pu++++,4,500.0,244.0
PuO2++,2,500.0,275.9988
SO3--,-2,500.0,80.0642
TcO++,2,500.0,114.9994
U++++,4,500.0,238.0289
