Salt,Temperature_C,MW_Salt_g_per_mol,RH_Water_Activity,Mass_Fraction_Salt,Mass_Fraction_Water,Mole_Fraction_Water,Mole_Fraction_Water_Ionic_Basis,Molality_m,Activity_Coefficient_Water,Ionic_Strength_m,ln_aw,ln_gammaw,electrolyte,max_molality_original,r_M_angstrom,r_X_angstrom,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_radius_hydrated,anion_1_viscosity_jones_dole,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_radius_hydrated,cation_1_viscosity_jones_dole,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original,electrolyte_type_numeric,cation_type_numeric,anion_type_numeric,solubility_limit,ln_gamma_at_90RH,RH_actual_for_ln_gamma_90,ln_gamma_at_70RH,RH_actual_for_ln_gamma_70,ln_gamma_at_50RH,RH_actual_for_ln_gamma_50,ln_gamma_at_30RH,RH_actual_for_ln_gamma_30
AgNO3,25,169.87,0.866,0.641384674,0.358615326,0.840566559,0.724980434,10.52865864,1.194514996,10.52865864,-0.14387037,0.177740242,AgNO3,6,1.15,1.79,-242,1.9e-05,62.0049,4,3.35,-0.043,-492,1.65e-05,107.8682,1,3.41,0.09,-0.0856,0.0025,0,0.0059,11,1,1,14,0.107856534,0.900565657,,,,,,
AgNO3,25,169.87,0.879111111,0.60301829,0.39698171,0.861257206,0.75632286,8.942177794,1.162348989,8.942177794,-0.128843983,0.150442948,AgNO3,6,1.15,1.79,-242,1.9e-05,62.0049,4,3.35,-0.043,-492,1.65e-05,107.8682,1,3.41,0.09,-0.0856,0.0025,0,0.0059,11,1,1,14,0.107856534,0.900565657,,,,,,
AgNO3,25,169.87,0.892222222,0.559033495,0.440966505,0.881487066,0.788088397,7.463036072,1.132134702,7.463036072,-0.114040049,0.124104967,AgNO3,6,1.15,1.79,-242,1.9e-05,62.0049,4,3.35,-0.043,-492,1.65e-05,107.8682,1,3.41,0.09,-0.0856,0.0025,0,0.0059,11,1,1,14,0.107856534,0.900565657,,,,,,
AgNO3,25,169.87,0.905333333,0.508283764,0.491716236,0.901205432,0.820176453,6.085202033,1.103827512,6.085202033,-0.099452079,0.098783697,AgNO3,6,1.15,1.79,-242,1.9e-05,62.0049,4,3.35,-0.043,-492,1.65e-05,107.8682,1,3.41,0.09,-0.0856,0.0025,0,0.0059,11,1,1,14,0.107856534,0.900565657,,,,,,
AgNO3,25,169.87,0.918444444,0.449934319,0.550065681,0.920177765,0.852156711,4.815239404,1.077788196,4.815239404,-0.085073861,0.074910975,AgNO3,6,1.15,1.79,-242,1.9e-05,62.0049,4,3.35,-0.043,-492,1.65e-05,107.8682,1,3.41,0.09,-0.0856,0.0025,0,0.0059,11,1,1,14,0.107856534,0.900565657,,,,,,
AgNO3,25,169.87,0.931555556,0.384225734,0.615774266,0.937933864,0.8831219,3.67323088,1.054843681,3.67323088,-0.07089945,0.053392586,AgNO3,6,1.15,1.79,-242,1.9e-05,62.0049,4,3.35,-0.043,-492,1.65e-05,107.8682,1,3.41,0.09,-0.0856,0.0025,0,0.0059,11,1,1,14,0.107856534,0.900565657,,,,,,
AgNO3,25,169.87,0.944666667,0.313072055,0.686927945,0.953894671,0.911853372,2.682973806,1.035985275,2.682973806,-0.056923147,0.035352931,AgNO3,6,1.15,1.79,-242,1.9e-05,62.0049,4,3.35,-0.043,-492,1.65e-05,107.8682,1,3.41,0.09,-0.0856,0.0025,0,0.0059,11,1,1,14,0.107856534,0.900565657,,,,,,
AgNO3,25,169.87,0.957777778,0.239340047,0.760659953,0.967708591,0.937437416,1.852286377,1.021697834,1.852286377,-0.043139493,0.021465787,AgNO3,6,1.15,1.79,-242,1.9e-05,62.0049,4,3.35,-0.043,-492,1.65e-05,107.8682,1,3.41,0.09,-0.0856,0.0025,0,0.0059,11,1,1,14,0.107856534,0.900565657,,,,,,
AgNO3,25,169.87,0.970888889,0.165036396,0.834963604,0.97946852,0.959763163,1.163577997,1.011592158,1.163577997,-0.029543247,0.011525484,AgNO3,6,1.15,1.79,-242,1.9e-05,62.0049,4,3.35,-0.043,-492,1.65e-05,107.8682,1,3.41,0.09,-0.0856,0.0025,0,0.0059,11,1,1,14,0.107856534,0.900565657,,,,,,
AgNO3,25,169.87,0.984,0.090115741,0.90988426,0.989605723,0.979425305,0.583039283,1.004670795,0.583039283,-0.016129382,0.004659921,AgNO3,6,1.15,1.79,-242,1.9e-05,62.0049,4,3.35,-0.043,-492,1.65e-05,107.8682,1,3.41,0.09,-0.0856,0.0025,0,0.0059,11,1,1,14,0.107856534,0.900565657,,,,,,
BaBr2,30,297.14,0.8241,0.500049202,0.499950798,0.942827044,0.846081125,3.366079377,0.974020074,10.09823813,-0.193463397,-0.026323366,BaBr2,2,1.36,1.96,-274,2.08e-05,79.904,1,3.3,-0.033,-1338,8.47e-06,137.327,1,4.04,0.261,0.3146,1.5698,0,-0.016,21,0,1,100,0.003964834,0.900445455,,,,,,
BaBr2,30,297.14,0.838833333,0.484528986,0.515471014,0.946083919,0.853995713,3.163402071,0.982245368,9.490206212,-0.175743241,-0.017914137,BaBr2,2,1.36,1.96,-274,2.08e-05,79.904,1,3.3,-0.033,-1338,8.47e-06,137.327,1,4.04,0.261,0.3146,1.5698,0,-0.016,21,0,1,100,0.003964834,0.900445455,,,,,,
BaBr2,30,297.14,0.853566667,0.466606597,0.533393404,0.949634531,0.862730845,2.944029211,0.989377709,8.832087633,-0.15833163,-0.01067911,BaBr2,2,1.36,1.96,-274,2.08e-05,79.904,1,3.3,-0.033,-1338,8.47e-06,137.327,1,4.04,0.261,0.3146,1.5698,0,-0.016,21,0,1,100,0.003964834,0.900445455,,,,,,
