Salt,Thermal,Cation,Anion,Cation_Class,Anion_Class,Electrolyte_Type,Anion_Family,Combined_Ion_Class
NaCl,Endothermic,Na,Cl,Kosmotrope,Intermediate,1:1,Halide,Kosmotrope-Cat/Intermediate-An
KCl,Endothermic,K,Cl,Chaotrope,Intermediate,1:1,Halide,Chaotrope-Cat/Intermediate-An
NH4Cl,Endothermic,NH4,Cl,Chaotrope,Intermediate,1:1,Halide,Chaotrope-Cat/Intermediate-An
CsCl,Endothermic,Cs,Cl,Chaotrope,Intermediate,1:1,Halide,Chaotrope-Cat/Intermediate-An
NaNO3,Endothermic,Na,NO3,Kosmotrope,Chaotrope,1:1,Nitrate,Kosmotrope-Cat/Chaotrope-An
AgNO3,Endothermic,Ag,NO3,Kosmotrope,Chaotrope,1:1,Nitrate,Kosmotrope-Cat/Chaotrope-An
KI,Endothermic,K,I,Chaotrope,Chaotrope,1:1,Halide,Chaotrope-Cat/Chaotrope-An
LiNO3,Endothermic,Li,NO3,Kosmotrope,Chaotrope,1:1,Nitrate,Kosmotrope-Cat/Chaotrope-An
KNO3,Endothermic,K,NO3,Chaotrope,Chaotrope,1:1,Nitrate,Chaotrope-Cat/Chaotrope-An
NaClO4,Endothermic,Na,ClO4,Kosmotrope,Chaotrope,1:1,Perchlorate/Chlorate,Kosmotrope-Cat/Chaotrope-An
KClO3,Endothermic,K,ClO3,Chaotrope,Chaotrope,1:1,Perchlorate/Chlorate,Chaotrope-Cat/Chaotrope-An
NaBr,Endothermic,Na,Br,Kosmotrope,Chaotrope,1:1,Halide,Kosmotrope-Cat/Chaotrope-An
NaI,Endothermic,Na,I,Kosmotrope,Chaotrope,1:1,Halide,Kosmotrope-Cat/Chaotrope-An
KBr,Endothermic,K,Br,Chaotrope,Chaotrope,1:1,Halide,Chaotrope-Cat/Chaotrope-An
RbCl,Endothermic,Rb,Cl,Chaotrope,Intermediate,1:1,Halide,Chaotrope-Cat/Intermediate-An
CsBr,Endothermic,Cs,Br,Chaotrope,Chaotrope,1:1,Halide,Chaotrope-Cat/Chaotrope-An
CsI,Endothermic,Cs,I,Chaotrope,Chaotrope,1:1,Halide,Chaotrope-Cat/Chaotrope-An
LiCl,Exothermic,Li,Cl,Kosmotrope,Intermediate,1:1,Halide,Kosmotrope-Cat/Intermediate-An
LiOH,Exothermic,Li,OH,Kosmotrope,Kosmotrope,1:1,Hydroxide,Kosmotrope-Cat/Kosmotrope-An
NaOH,Exothermic,Na,OH,Kosmotrope,Kosmotrope,1:1,Hydroxide,Kosmotrope-Cat/Kosmotrope-An
HCl,Exothermic,H,Cl,Kosmotrope,Intermediate,1:1,Halide,Kosmotrope-Cat/Intermediate-An
CaCl2,Exothermic,Ca,Cl,Kosmotrope,Intermediate,1:2,Halide,Kosmotrope-Cat/Intermediate-An
MgCl2,Exothermic,Mg,Cl,Kosmotrope,Intermediate,1:2,Halide,Kosmotrope-Cat/Intermediate-An
MgNO3,Exothermic,Mg,NO3,Kosmotrope,Chaotrope,1:2,Nitrate,Kosmotrope-Cat/Chaotrope-An
LiBr,Exothermic,Li,Br,Kosmotrope,Chaotrope,1:1,Halide,Kosmotrope-Cat/Chaotrope-An
ZnCl2,Exothermic,Zn,Cl,Kosmotrope,Intermediate,1:2,Halide,Kosmotrope-Cat/Intermediate-An
ZnI2,Exothermic,Zn,I,Kosmotrope,Chaotrope,1:2,Halide,Kosmotrope-Cat/Chaotrope-An
