Salt,Initial_Slope_dln_aw_dm,Curvature_d2ln_aw_dm2,Threshold_Molality_aw_075,Integral_ln_aw,Max_Molality,N_Data_Points,Fit_RMSE
ZnCl2,-0.0222128272606302,0.00882844735205175,5.19674431263454,-22.7624788311637,21.0363653088,100,0
ZnBr2,-0.0706984090387123,0.0206134943270591,4.56338519470437,-21.1184190056228,19.633897592,100,0
LiBr,-0.0378757392000282,0.0113327923764252,4.79450075375826,-18.5729510109163,18.2649588695,100,0
LiCl,-0.0525971595807057,0.00655400052866422,4.92039366372604,-16.6277687582172,18.9219682886,100,0
HCl,-0.0448639114914386,0.00872958314756893,4.74731632927154,-11.2303383755122,15.9684110202,100,0
NaOH,-0.0376359755621064,0.00742144418106777,5.7101157356769,-8.97163043748358,15.8643325919,100,0
LiI,-0.0566904266125008,0.0369607146319275,4.47027731682592,-6.48553157565865,11.791640516,100,0
ZnI2,-0.17377946442306,0.032319381040918,4.10947841703087,-6.25000041583075,11.5453884292,100,0
CaCl2,-0.0814685491148412,0.0235981451601426,2.95711337523848,-3.32089786127884,7.2216748332,100,0
MgCl2,-0.125251259632974,0.0641076860252543,2.90209163021166,-2.26210577627978,5.8244590372,100,0
NaI,-0.0420957927801789,0.00655266566370174,5.2992060580798,-1.88431744578597,8.3493083467,100,0
NaBr,-0.0634123978212826,0.016141380332569,5.88531260363522,-1.46720131747176,7.9549387552,100,0
CaNO3,-0.0437805827575678,0.0100406467651831,4.44018886412114,-1.10050020306184,5.9609614556,100,0
MgNO3,-0.0738723048374399,0.0389212312255639,3.01608037454898,-1.03641315419592,4.749477616,100,0
AgNO3,-0.0236710721381322,0.00155609344619258,Inf,-0.893537328312,10.5286586379,100,0
LiClO4,-0.0282307010729828,0.00163472223608924,Inf,-0.86532907316113,7.4283570569,100,0
RbCl,-0.028449703842664,0.012407162844412,6.83217478204658,-0.833118017645377,6.9312502521,100,0
LiNO3,-0.0365031034045212,0.00524805592884693,5.69947292428357,-0.804633830276361,5.9666024688,100,0
CaBr2,-0.0546494239029017,0.0291999622581475,3.51940905972408,-0.758594543609896,4.5829008442,100,0
NaCl,-0.0330578256301665,0.00491588179865075,Inf,-0.698169305749379,5.9072786802,100,0
NaClO4,-0.0330755320729715,0.0038680183195022,Inf,-0.65668166177124,5.6157950039,100,0
SrI2,-0.0536109133983284,0.0408337553269096,3.54318039311132,-0.580583391780899,4.1499767675,100,0
NH4Cl,-0.0328113995658745,0.00158106761353057,Inf,-0.576604807757861,5.8273902874,100,0
CsCl,-0.0233985498614046,0.00302330518422677,Inf,-0.554653096473738,5.8681530872,100,0
CsBr,-0.0281248788558412,0.00450171974074096,Inf,-0.45877775640838,5.8668423436,100,0
NH42SO4,-0.035124187910389,0.00318335888767486,Inf,-0.429702078991218,4.9516919687,100,0
LiOH,-0.0321422025455935,0.000464904571640623,Inf,-0.376732409104089,4.8977879162,100,0
KCl,-0.032276260108302,0.00229553198361108,Inf,-0.323160424824257,4.3825238645,100,0
SrBr2,-0.0284195485892525,0.0449715250251157,Inf,-0.300708219523842,3.3180477696,100,0
KBr,-0.027248647909075,0.0426227178578646,Inf,-0.293242961359466,4.3291400053,100,0
BaBr2,-0.0445495479783795,0.0225057198154399,Inf,-0.259301609485238,3.3660793771,100,0
SrCl2,-0.0456973858777583,0.0719841222404436,Inf,-0.243850236479711,3.1793555105,100,0
Li2SO4,-0.0406229172637709,0.0117627857742193,Inf,-0.207714040201488,2.9674129862,100,0
CaI2,-0.0573448714040653,0.112708077217137,Inf,-0.172848188316788,2.938091419,100,0
Na2SO4,-0.0366290085110324,0.00642910651625814,Inf,-0.149719045737924,2.9504283117,100,0
KNO3,-0.0292981145157951,0.00566684418312474,Inf,-0.133746425024098,3.3633895804,100,0
MgSO4,-0.0175919460250441,0.0177195802935754,Inf,-0.109219040709105,2.9671099347,100,0
MnSO4,-0.0157492016272774,0.0137231989374354,Inf,-0.0939387285093605,2.958786957,100,0
ZnSO4,-0.0159861340934041,0.0132996581508735,Inf,-0.0607416602650102,2.4517238315,100,0
BaCl2,-0.0332116127261477,0.0777354334664882,Inf,-0.0335981735866835,1.3235211279,100,0
CsI,-0.033816901211653,0.250678079029709,Inf,-0.0290339096575686,1.7746474318,100,NaN
NiSO4,-0.0152598167845939,0.00952571484391996,Inf,-0.0184693456906963,1.516947006,100,0
CuSO4,-0.0154919652490834,0.00753302365954845,Inf,-0.0136872472046059,1.3149266372,100,0
NaNO3,-0.0312009608669201,0.00302787032842014,Inf,-0.0129841530978534,0.9330162711,100,0
KI,-0.0328914098016204,0.00182744287807889,Inf,-0.0123753453583304,0.8819488045,100,0
K2SO4,-0.0379006029721772,0.0113491821320778,Inf,-0.00960521741544019,0.7314258283,100,0
KClO3,-0.0295532013648742,0.0107590850861857,Inf,-0.00470667711270444,0.61746656,100,0
BaNO3,-0.0350250615627406,0.0190937626961839,Inf,-0.00164896989327414,0.3348699651,100,0
