name,type,mass_water,mf_water,x_water,molality,composition
LiCl,pure,411.250974626595,0.804401350876568,0.828735003802461,5.73572953615432,LiCl
MgCl2,pure,323.446305045224,0.763842549082297,0.850705022635644,3.24721226870901,MgCl2
LiCl+NaCl,binary,308.666066834836,0.755301435290404,0.571411762605535,6.42571103173208,LiCl (50%) + NaCl (50%)
NaCl+MgCl2,binary,266.379102432785,0.727058668641327,0.55972106977965,4.88636577963498,NaCl (50%) + MgCl2 (50%)
CaCl2,pure,265.430587253837,0.726350219472631,0.844979132227683,3.39460040582942,CaCl2
LiCl+KCl,binary,239.891765266381,0.705788694463875,0.482923520516026,7.12907193929993,LiCl (50%) + KCl (50%)
NaCl+CaCl2,binary,226.288436868308,0.693522697402971,0.506628703923324,5.21656967285717,NaCl (50%) + CaCl2 (50%)
LiBr,pure,211.272534056121,0.678738118339827,0.835861416928612,5.45019623161387,LiBr
NaCl+KCl,binary,184.152084940163,0.648075783005224,0.384951452126021,8.16622435100463,NaCl (50%) + KCl (50%)
KCl+CaCl2,binary,179.8182670294,0.642625190050609,0.409422548423543,5.99473982442704,KCl (50%) + CaCl2 (50%)
NaCl+NaBr,binary,172.71916843611,0.633322437240318,0.400451879207965,7.17720713367973,NaCl (50%) + NaBr (50%)
CaBr2,pure,159.472291472692,0.614602393833931,0.855032533540885,3.1371290769238,CaBr2
NaBr,pure,144.481266308915,0.590970704996085,0.804919044166839,6.7266434757427,NaBr
NaCl+KBr,binary,141.544275200862,0.585997225904681,0.330366902426317,7.96294874570984,NaCl (50%) + KBr (50%)
NaBr+KCl,binary,129.956542232117,0.565135224989336,0.293727015195261,8.67297474458779,NaBr (50%) + KCl (50%)
ZnCl2,pure,125.819193815193,0.557167846051924,0.76035272936999,5.83178972963855,ZnCl2
KCl+KBr,binary,106.15685503348,0.514932452846354,0.232361420914552,9.7337916219976,KCl (50%) + KBr (50%)
NaBr+KBr,binary,105.813778499394,0.514123880679377,0.256385300289642,8.51801301451646,NaBr (50%) + KBr (50%)
