,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.10948674,0.0013697228,0.0,0.00136972280000000,PySRFunction(X=>0.00136972280000000)
1,3,0.108213246,sqrt_I / anion_1_delta_G_hydration,0.005849832836091367,sqrt_I/anion_1_delta_G_hydration,PySRFunction(X=>sqrt_I/anion_1_delta_G_hydration)
2,4,0.099579416,exp(sqrt_I) / anion_1_delta_G_hydration,0.0831483037958748,exp(sqrt_I)/anion_1_delta_G_hydration,PySRFunction(X=>exp(sqrt_I)/anion_1_delta_G_hydration)
3,5,0.056020387,(sqrt_I ^ 4.310882) / anion_1_delta_G_hydration,0.5752397985102323,sqrt_I**4.310882/anion_1_delta_G_hydration,PySRFunction(X=>sqrt_I**4.310882/anion_1_delta_G_hydration)
4,7,0.054029193,-0.23188403 * (abs(log(sqrt_I)) ^ 5.32017),0.018095583228655693,-0.23188403*Abs(log(sqrt_I))**5.32017,PySRFunction(X=>-0.23188403*Abs(log(sqrt_I))**5.32017)
5,9,0.050440714,(log(sqrt_I - log(sqrt_I)) ^ 2.8599527) * -1.47138,0.03436292258455779,-1.47138*log(sqrt_I - log(sqrt_I))**2.8599527,PySRFunction(X=>-1.47138*log(sqrt_I - log(sqrt_I))**2.8599527)
6,10,0.04813118,(log(sqrt_I - log(sqrt_I)) ^ inv(feat_lattice_proxy)) * -1.4123435,0.04686846648093967,-1.4123435*log(sqrt_I - log(sqrt_I))**(1/feat_lattice_proxy),PySRFunction(X=>-1.4123435*log(sqrt_I - log(sqrt_I))**(1/feat_lattice_proxy))
7,11,0.04566435,(log(sqrt_I - log(sqrt_I)) ^ (r_M_angstrom + 2.0413985)) * -1.4434432,0.052612294001586936,-1.4434432*log(sqrt_I - log(sqrt_I))**(r_M_angstrom + 2.0413985),PySRFunction(X=>-1.4434432*log(sqrt_I - log(sqrt_I))**(r_M_angstrom + 2.0413985))
8,12,0.044878833,(log(sqrt_I - log(sqrt_I)) ^ exp(r_M_angstrom - -0.17659186)) * -1.4155455,0.017351647743632993,-1.4155455*log(sqrt_I - log(sqrt_I))**(1.19314402393576*exp(r_M_angstrom)),PySRFunction(X=>-1.4155455*log(sqrt_I - log(sqrt_I))**(1.19314402393576*exp(r_M_angstrom)))
9,13,0.042779274,(log(sqrt_I - log(sqrt_I)) ^ ((r_M_angstrom ^ sqrt_I) + 2.1489396)) * -1.4429858,0.04791252523929513,-1.4429858*log(sqrt_I - log(sqrt_I))**(r_M_angstrom**sqrt_I + 2.1489396),PySRFunction(X=>-1.4429858*log(sqrt_I - log(sqrt_I))**(r_M_angstrom**sqrt_I + 2.1489396))
10,14,0.04169394,((log(sqrt_I - log(sqrt_I)) ^ (r_M_angstrom + 2.0583663)) * log(r_X_angstrom)) * -2.3229797,0.025697938460043014,-2.3229797*log(r_X_angstrom)*log(sqrt_I - log(sqrt_I))**(r_M_angstrom + 2.0583663),PySRFunction(X=>-2.3229797*log(r_X_angstrom)*log(sqrt_I - log(sqrt_I))**(r_M_angstrom + 2.0583663))
11,15,0.04118403,((log(sqrt_I - log(sqrt_I)) ^ ((r_M_angstrom ^ 3.4858534) + 2.1850948)) * -0.5554591) / feat_lattice_proxy,0.012305234651551217,-0.5554591*log(sqrt_I - log(sqrt_I))**(r_M_angstrom**3.4858534 + 2.1850948)/feat_lattice_proxy,PySRFunction(X=>-0.5554591*log(sqrt_I - log(sqrt_I))**(r_M_angstrom**3.4858534 + 2.1850948)/feat_lattice_proxy)
12,16,0.03850156,(log(sqrt_I - log(sqrt_I)) ^ ((r_M_angstrom ^ 3.5099664) + 2.337727)) * (log(r_X_angstrom) * -2.33867),0.06735179989831339,-2.33867*log(r_X_angstrom)*log(sqrt_I - log(sqrt_I))**(r_M_angstrom**3.5099664 + 2.337727),PySRFunction(X=>-2.33867*log(r_X_angstrom)*log(sqrt_I - log(sqrt_I))**(r_M_angstrom**3.5099664 + 2.337727))
