Component,Chemical Formula,salt,property_type,Concentration,Temperature,Property,"Property
Value",Concentration 2
Component 1,Na2SO4,Na2SO4,water_activity,,,,,
,,Na2SO4,water_activity,mol/kg H2O,°C,-,,
,,Na2SO4,water_activity,0.1000,25.0000,,0.9958,
,,Na2SO4,water_activity,0.2000,25.0000,,0.9922,
,,Na2SO4,water_activity,0.4000,25.0000,,0.9849,
,,Na2SO4,water_activity,0.6000,25.0000,,0.9779,
,,Na2SO4,water_activity,0.8000,25.0000,,0.9714,
,,Na2SO4,water_activity,1.0000,25.0000,,0.9653,
,,Na2SO4,water_activity,1.5000,25.0000,,0.9500,
,,Na2SO4,water_activity,1.9641,25.0000,,0.9363,
Component 1,Na2SO4,Na2SO4,water_activity,,,,,
,,Na2SO4,water_activity,mol/kg H2O,°C,-,,
,,Na2SO4,water_activity,1.4270,20.8300,,0.8680,
,,Na2SO4,water_activity,1.9530,25.0200,,0.8600,
,,Na2SO4,water_activity,2.5520,28.4600,,0.8640,
,,Na2SO4,water_activity,3.2830,50.5500,,0.8880,
,,Na2SO4,water_activity,3.3710,42.8800,,0.8860,
,,Na2SO4,water_activity,3.4730,32.3800,,0.8640,
,,Na2SO4,water_activity,3.4730,35.0200,,0.8700,
Component 1,Na2SO4,Na2SO4,water_activity,,,,,
,,Na2SO4,water_activity,Wt. %,°C,-,,
,,Na2SO4,water_activity,12.0000,27.5000,,0.9668,
,,Na2SO4,water_activity,15.9700,27.5000,,0.9552,
,,Na2SO4,water_activity,17.9900,27.5000,,0.9489,
,,Na2SO4,water_activity,19.9900,27.5000,,0.9421,
,,Na2SO4,water_activity,21.9900,27.5000,,0.9348,
,,Na2SO4,water_activity,23.9900,27.5000,,0.9265,
Component 1,Na2SO4,Na2SO4,water_activity,,,,,
,,Na2SO4,water_activity,mol/kg H2O,°C,-,,
,,Na2SO4,water_activity,0.1000,25.0000,,0.9957,
,,Na2SO4,water_activity,0.2000,25.0000,,0.9920,
,,Na2SO4,water_activity,0.3000,25.0000,,0.9882,
,,Na2SO4,water_activity,0.4000,25.0000,,0.9848,
,,Na2SO4,water_activity,0.5000,25.0000,,0.9815,
,,Na2SO4,water_activity,0.6000,25.0000,,0.9781,
,,Na2SO4,water_activity,0.7000,25.0000,,0.9749,
,,Na2SO4,water_activity,0.8000,25.0000,,0.9718,
,,Na2SO4,water_activity,1.0000,25.0000,,0.9660,
,,Na2SO4,water_activity,1.5000,25.0000,,0.9500,
,,Na2SO4,water_activity,2.0000,25.0000,,0.9350,
,,Na2SO4,water_activity,2.5000,25.0000,,0.9180,
,,Na2SO4,water_activity,3.0000,25.0000,,0.8990,
Component 1,LiClO4,LiCl,water_activity,,,,,
,,LiCl,water_activity,mol/kg H2O,°C,-,,
,,LiCl,water_activity,0.7000,0.0000,,0.9510,
,,LiCl,water_activity,1.2700,0.0000,,0.9160,
,,LiCl,water_activity,1.2700,50.0000,,0.9270,
,,LiCl,water_activity,1.8700,0.0000,,0.8890,
,,LiCl,water_activity,2.7100,0.0000,,0.8480,
,,LiCl,water_activity,3.3000,50.0000,,0.8400,
,,LiCl,water_activity,3.4200,0.0000,,0.8120,
,,LiCl,water_activity,3.5600,50.0000,,0.8310,
,,LiCl,water_activity,3.9200,50.0000,,0.8080,
,,LiCl,water_activity,4.0600,0.0000,,0.7710,
,,LiCl,water_activity,4.7500,50.0000,,0.7480,
Component 1,LiCl,LiCl,water_activity,,,,,
,,LiCl,water_activity,mol/kg H2O,°C,-,,
,,LiCl,water_activity,0.1004,25.0000,,0.9990,
,,LiCl,water_activity,0.2185,25.0000,,0.9950,
,,LiCl,water_activity,0.4040,25.0000,,0.9890,
,,LiCl,water_activity,0.6082,25.0000,,0.9830,
,,LiCl,water_activity,0.8142,25.0000,,0.9750,
,,LiCl,water_activity,1.0216,25.0000,,0.9680,
,,LiCl,water_activity,1.5471,25.0000,,0.9430,
,,LiCl,water_activity,2.0845,25.0000,,0.9160,
,,LiCl,water_activity,2.6327,25.0000,,0.8890,
,,LiCl,water_activity,3.1940,25.0000,,0.8580,
,,LiCl,water_activity,3.7687,25.0000,,0.8250,
,,LiCl,water_activity,4.3576,25.0000,,0.7910,
,,LiCl,water_activity,4.9582,25.0000,,0.7450,
,,LiCl,water_activity,5.5749,25.0000,,0.6970,
,,LiCl,water_activity,6.2074,25.0000,,0.6570,
,,LiCl,water_activity,6.8567,25.0000,,0.6130,
,,LiCl,water_activity,7.5199,25.0000,,0.5620,
