Component,Chemical Formula,salt,Concentration,Temperature,Pressure,Pressure 1,Concentration 2,Pressure 2
Component 1,LiCl,LiCl,,,,,,
,,LiCl,Wt. %,°C,bar,,,
,,LiCl,15.5000,250.0000,32.8635,0.0000,,
,,LiCl,16.0000,300.0000,69.6510,0.0000,,
,,LiCl,17.0000,350.0000,127.5300,0.0000,,
,,LiCl,31.0000,300.0000,48.0690,0.0000,,
,,LiCl,31.5000,250.0000,22.5630,0.0000,,
,,LiCl,31.5000,300.0000,49.0500,0.0000,,
,,LiCl,32.5000,350.0000,88.7805,0.0000,,
,,LiCl,33.0000,400.0000,159.9030,0.0000,,
,,LiCl,42.0000,250.0000,15.2055,0.0000,,
,,LiCl,43.0000,300.0000,34.3350,0.0000,,
,,LiCl,44.0000,350.0000,64.7460,0.0000,,
,,LiCl,45.5000,400.0000,108.4000,0.0000,,
,,LiCl,47.0000,450.0000,161.8650,0.0000,,
,,LiCl,50.5000,250.0000,11.2815,0.0000,,
,,LiCl,51.0000,300.0000,25.5060,0.0000,,
,,LiCl,55.0000,250.0000,8.8290,0.0000,,
,,LiCl,56.0000,350.0000,44.1450,0.0000,,
,,LiCl,57.5000,250.0000,7.8480,0.0000,,
,,LiCl,58.0000,300.0000,18.6390,0.0000,,
,,LiCl,60.5000,250.0000,6.8670,0.0000,,
,,LiCl,62.0000,350.0000,33.3540,0.0000,,
,,LiCl,62.7000,250.0000,5.9841,0.0000,,
,,LiCl,63.3000,250.0000,6.1803,0.0000,,
,,LiCl,63.5000,400.0000,65.7270,0.0000,,
,,LiCl,65.0000,350.0000,27.4680,0.0000,,
,,LiCl,66.3000,300.0000,12.2625,0.0000,,
,,LiCl,68.5000,400.0000,48.0690,0.0000,,
,,LiCl,70.3000,350.0000,23.5440,0.0000,,
,,LiCl,70.4000,350.0000,23.0535,0.0000,,
,,LiCl,73.0000,400.0000,38.2590,0.0000,,
,,LiCl,74.5000,400.0000,35.3160,0.0000,,
,,LiCl,74.5000,450.0000,64.2555,0.0000,,
,,LiCl,75.3000,400.0000,33.3540,0.0000,,
,,LiCl,76.0000,400.0000,33.8445,0.0000,,
,,LiCl,77.5000,450.0000,52.9740,0.0000,,
,,LiCl,80.0000,450.0000,44.5374,0.0000,,
,,LiCl,81.3000,450.0000,40.7115,0.0000,,
,,LiCl,81.5000,450.0000,41.2020,0.0000,,
,,LiCl,86.7000,500.0000,43.1640,0.0000,,
,,LiCl,93.5000,556.0000,32.8635,0.0000,,
Component 1,LiCl,LiCl,,,,,,
,,LiCl,Wt. %,Kelvin,kPa,,,
,,LiCl,40.0000,298.1500,1.4800,0.0000,,
,,LiCl,40.0000,303.1500,1.7400,0.0000,,
,,LiCl,40.0000,308.1500,2.1300,0.0000,,
,,LiCl,40.0000,313.1500,2.4100,0.0000,,
Component 1,LiCl,LiCl,,,,,,
,,LiCl,mol/kg H2O,Kelvin,kPa,,,
,,LiCl,2.4900,313.2000,5.6700,0.0000,,
,,LiCl,2.5000,353.2100,41.5700,0.0000,,
,,LiCl,4.8500,353.2800,38.7500,0.0000,,
,,LiCl,4.9900,313.1200,4.7000,0.0000,,
,,LiCl,7.9900,313.0900,3.4500,0.0000,,
Component 1,LiCl,LiCl,,,,,,
,,LiCl,mol/kg H2O,Kelvin,kPa,,,
,,LiCl,0.0000,303.1500,4.2423,0.0000,,
,,LiCl,3.0100,303.1500,3.6530,0.0000,,
,,LiCl,5.0010,303.1500,3.1730,0.0000,,
,,LiCl,5.9980,303.1500,2.8423,0.0000,,
Component 1,LiCl,LiCl,,,,,,
,,LiCl,mol/kg H2O,Kelvin,kPa,,,
,,LiCl,19.2960,283.1500,0.1280,0.0000,,
,,LiCl,19.4560,288.1500,0.1930,0.0000,,
,,LiCl,19.6700,293.1500,0.2790,0.0000,,
,,LiCl,19.9350,298.1500,0.3840,0.0000,,
,,LiCl,20.2530,303.1500,0.5080,0.0000,,
,,LiCl,20.6200,308.1500,0.6440,0.0000,,
,,LiCl,21.0390,313.1500,0.7870,0.0000,,
Component 1,LiCl,LiCl,,,,,,
,,LiCl,mol/kg H2O,Kelvin,kPa,,,
,,LiCl,3.0100,303.1500,3.6800,0.0000,,
,,LiCl,3.0100,313.1500,6.4200,0.0000,,
,,LiCl,3.0100,323.1500,10.7800,0.0000,,
,,LiCl,3.0100,333.1500,17.4700,0.0000,,
,,LiCl,3.0100,343.1500,27.4100,0.0000,,
,,LiCl,4.9990,303.1500,3.1900,0.0000,,
,,LiCl,4.9990,313.1500,5.5600,0.0000,,
,,LiCl,4.9990,323.1500,9.3400,0.0000,,
,,LiCl,4.9990,333.1500,15.1300,0.0000,,
,,LiCl,4.9990,343.1500,23.7500,0.0000,,
,,LiCl,5.9980,303.1500,2.8900,0.0000,,
,,LiCl,5.9980,313.1500,5.0600,0.0000,,
,,LiCl,5.9980,323.1500,8.5100,0.0000,,
,,LiCl,5.9980,333.1500,13.8200,0.0000,,
,,LiCl,5.9980,343.1500,21.7500,0.0000,,
,,LiCl,7.8560,303.1500,2.3400,0.0000,,
,,LiCl,7.8560,313.1500,4.1200,0.0000,,
,,LiCl,7.8560,323.1500,6.9800,0.0000,,
,,LiCl,7.8560,333.1500,11.4000,0.0000,,
,,LiCl,7.8560,343.1500,18.0500,0.0000,,
,,LiCl,10.1680,303.1500,1.7200,0.0000,,
,,LiCl,10.1680,313.1500,3.0700,0.0000,,
,,LiCl,10.1680,323.1500,5.2700,0.0000,,
,,LiCl,10.1680,333.1500,8.7000,0.0000,,
,,LiCl,10.1680,343.1500,13.9300,0.0000,,
,,LiCl,12.6930,303.1500,1.2000,0.0000,,
,,LiCl,12.6930,313.1500,2.1800,0.0000,,
,,LiCl,12.6930,323.1500,3.8000,0.0000,,
,,LiCl,12.6930,333.1500,6.3700,0.0000,,
,,LiCl,12.6930,343.1500,10.3600,0.0000,,
,,LiCl,15.6610,303.1500,0.8000,0.0000,,
,,LiCl,15.6610,313.1500,1.4800,0.0000,,
,,LiCl,15.6610,323.1500,2.6300,0.0000,,
,,LiCl,15.6610,333.1500,4.4800,0.0000,,
,,LiCl,15.6610,343.1500,7.4000,0.0000,,
,,LiCl,18.4560,303.1500,0.5800,0.0000,,
,,LiCl,18.4560,313.1500,1.0900,0.0000,,
,,LiCl,18.4560,323.1500,1.9600,0.0000,,
,,LiCl,18.4560,333.1500,3.3700,0.0000,,
,,LiCl,18.4560,343.1500,5.6600,0.0000,,
Component 1,LiCl,LiCl,,,,,,
,,LiCl,mol %,Kelvin,kPa,,,
,,LiCl,2.2000,373.9500,100.0000,0.0000,,
,,LiCl,4.0000,375.3500,100.0000,0.0000,,
,,LiCl,6.3000,377.6500,100.0000,0.0000,,
,,LiCl,8.0000,379.6500,100.0000,0.0000,,
,,LiCl,10.2000,383.1500,100.0000,0.0000,,
,,LiCl,12.5000,387.2500,100.0000,0.0000,,
Component 1,LiCl,LiCl,,,,,,
