#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
1.0%	1000	-299462.4768107833	302.30666928041387	0
2.0%	2000	-300489.429988865	291.56981829185014	1.02e+03
3.0%	3000	-302006.4358305466	304.08708528889963	1.01e+03
4.0%	4000	-302649.24152096023	308.89927788036925	1.03e+03
5.0%	5000	-303239.97950721206	305.91207241608157	1.03e+03
6.0%	6000	-303472.0800163468	307.0570299784821	1.04e+03
7.0%	7000	-304420.4065889083	307.833709116004	1.04e+03
8.0%	8000	-304484.04304644273	308.90423201487044	1.04e+03
9.0%	9000	-305176.465774435	293.62255437438057	1.04e+03
10.0%	10000	-304893.11665905034	305.8640008387935	1.04e+03
11.0%	11000	-305578.9987966898	288.5056566145807	1.04e+03
12.0%	12000	-305487.42869118496	298.5442858803251	1.04e+03
13.0%	13000	-305768.72144096246	292.3613987408959	1.04e+03
14.0%	14000	-305536.18079065724	304.8740660779928	1.03e+03
15.0%	15000	-305820.2374257266	306.6356867024342	1.03e+03
16.0%	16000	-305937.45989854157	299.6619688633508	1.03e+03
17.0%	17000	-306028.39321509504	299.34279131899183	1.03e+03
18.0%	18000	-306268.7673468933	292.7978846749757	1.03e+03
19.0%	19000	-306284.9047437426	305.22271837480264	1.03e+03
20.0%	20000	-306432.0970765887	297.68255436477534	1.02e+03
21.0%	21000	-306612.3036391179	299.08262243564366	1.02e+03
22.0%	22000	-306163.2578979755	300.68768553146293	1.02e+03
23.0%	23000	-306491.93582548155	302.6628348004459	1.01e+03
24.0%	24000	-306374.2223784669	306.19077303835394	1.01e+03
25.0%	25000	-306374.7687250544	296.43614811224376	1.01e+03
26.0%	26000	-306240.9027331146	306.85134746320927	1.01e+03
27.0%	27000	-306859.80681619985	301.3923050756554	1.01e+03
28.0%	28000	-306387.00633254705	295.82677181644027	1.01e+03
29.0%	29000	-307023.63978858985	306.52797572132897	1.01e+03
30.0%	30000	-306582.0135199778	297.1101699198956	1e+03
31.0%	31000	-306502.4906847906	298.2105409937232	999
32.0%	32000	-306869.82863197644	301.88286190333986	999
33.0%	33000	-306634.5741934058	302.02044158010517	1e+03
34.0%	34000	-306473.19208974746	315.45438403186387	996
35.0%	35000	-306640.9080715857	300.20868475669033	997
36.0%	36000	-306646.359978317	297.3176401488241	998
37.0%	37000	-306810.8358348675	297.21510562565766	997
38.0%	38000	-306550.1732193053	299.075602798525	997
39.0%	39000	-306521.97226829495	308.842292318175	997
40.0%	40000	-306928.2722613245	301.1720755434589	998
41.0%	41000	-306747.23422533396	312.3216182541356	997
42.0%	42000	-306523.53933615447	299.6571797021874	998
43.0%	43000	-306788.76941016683	298.9954691289036	998
44.0%	44000	-306553.8826090253	294.20166976045783	997
45.0%	45000	-306548.2506178534	307.079969502562	997
46.0%	46000	-306714.9588952335	308.2056262711163	997
47.0%	47000	-306541.2983473791	296.9171732499409	998
48.0%	48000	-306820.16505494283	299.2956026469336	998
49.0%	49000	-306744.6721057016	307.4835411725058	998
50.0%	50000	-306705.9363483331	307.33133164388585	999
51.0%	51000	-306581.5988526051	304.4685809819775	999
52.0%	52000	-306627.41655065573	290.79023887650396	999
53.0%	53000	-306864.41130909073	307.16474469917677	999
54.0%	54000	-306486.8071126494	301.09681825958296	1e+03
55.0%	55000	-306593.49234430556	305.05878615060584	999
56.0%	56000	-306805.4381200723	299.87750107393197	999
57.0%	57000	-306539.5946330092	301.0469878466675	999
58.0%	58000	-306583.4187128653	301.1549909823313	998
59.0%	59000	-306751.1784549111	294.6176064328755	994
60.0%	60000	-306767.7535993291	299.36701042580967	994
61.0%	61000	-306729.336484785	301.29665537697707	994
62.0%	62000	-306713.9603040957	306.6326349286241	994
63.0%	63000	-306778.9316973443	307.6763494248867	995
64.0%	64000	-306418.0998320896	300.4933185985594	993
65.0%	65000	-306433.91095299396	304.66890085698554	993
66.0%	66000	-306933.3070938326	302.380529162463	994
67.0%	67000	-306807.52169689245	304.9966740104502	994
68.0%	68000	-306847.55050776683	299.09954094253203	994
69.0%	69000	-306972.82184773893	308.3631551304232	993
70.0%	70000	-307059.38418452145	306.1450943817737	992
71.0%	71000	-307078.44042105303	301.49854766148417	991
72.0%	72000	-307268.4012399519	311.5617807167704	992
73.0%	73000	-307010.6299549733	300.3648729761916	992
74.0%	74000	-307062.6035122254	301.8486397560348	991
75.0%	75000	-306528.9019529851	306.79236576212327	991
76.0%	76000	-307002.5908788192	293.9117631813163	991
77.0%	77000	-306968.3873546815	303.6706512578712	989
78.0%	78000	-306875.66724625824	298.667037758109	989
79.0%	79000	-306403.1965304684	306.5977987906481	990
80.0%	80000	-306782.23631999	300.0938289135822	990
81.0%	81000	-306360.35237604915	294.5027322390034	989
82.0%	82000	-306683.9950973946	299.9325766893867	990
83.0%	83000	-306801.3027809016	308.48228974273866	989
84.0%	84000	-306964.9553310884	302.54081592188464	990
85.0%	85000	-306920.0850299285	307.52078147715326	990
86.0%	86000	-306649.50393334427	306.5373244774591	990
87.0%	87000	-306982.24952785234	297.54481968310154	986
88.0%	88000	-307110.44116336777	301.1368434753776	986
89.0%	89000	-306972.466934002	307.5287433971227	986
90.0%	90000	-307140.32895393396	310.1310368764021	986
91.0%	91000	-306876.22715640854	301.75048679042015	985
92.0%	92000	-306993.02505679964	287.054269975795	985
93.0%	93000	-307107.18494974513	301.5934660522339	985
94.0%	94000	-307194.86071526323	292.5211755376658	985
95.0%	95000	-306812.1904065326	290.07816535125795	986
96.0%	96000	-307203.0168839801	298.0611603515437	986
97.0%	97000	-306695.59383019427	296.0804165165714	986
98.0%	98000	-306673.30495500687	303.62931075238953	984
99.0%	99000	-306744.3748058641	299.12069549157957	984
100.0%	100000	-307205.8529374227	295.4276227722159	984
