#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
1.0%	1000	-226382.47663748334	310.2083659040152	0
2.0%	2000	-227780.7017064643	307.1059286162191	600
3.0%	3000	-227952.77085855743	298.2552434595185	629
4.0%	4000	-228137.30327990092	298.4044710666742	645
5.0%	5000	-228285.8289928342	302.2533248246999	655
6.0%	6000	-228303.39839306625	306.52074664995746	659
7.0%	7000	-228511.7551566572	305.4385110993478	657
8.0%	8000	-228603.9610446327	308.93623944834485	657
9.0%	9000	-227372.99810241617	297.6165653830699	659
10.0%	10000	-228732.99080339237	295.0938271853808	661
11.0%	11000	-228830.29170236934	300.54327685449385	662
12.0%	12000	-228945.345158746	304.4810365405081	662
13.0%	13000	-229222.3167027575	301.07642694970957	663
14.0%	14000	-228805.9821037216	299.0687549502334	663
15.0%	15000	-228710.63884868065	302.02425069808754	663
16.0%	16000	-228626.59690876026	300.1467941596492	663
17.0%	17000	-227727.60939348233	299.9632704973418	662
18.0%	18000	-228972.6963640547	297.228639387535	663
19.0%	19000	-228374.4451376733	294.969557232306	663
20.0%	20000	-228941.77579249511	301.02100390507775	662
21.0%	21000	-228313.1241236244	299.2944422974443	661
22.0%	22000	-228770.60318509047	300.98621903705543	662
23.0%	23000	-228407.244428872	301.12158862248003	662
24.0%	24000	-228347.33817582356	304.7336871215929	662
25.0%	25000	-228706.853259739	307.4771078513397	662
26.0%	26000	-228749.26158168842	299.8300908985828	661
27.0%	27000	-228916.47622775333	294.59161824176954	661
28.0%	28000	-229215.40823283722	305.51902462956093	661
29.0%	29000	-228851.08441595128	292.01571749254913	661
30.0%	30000	-228913.60847091232	303.8136276319428	659
31.0%	31000	-228634.70795754704	301.91102292570116	659
32.0%	32000	-228594.74051323987	295.8790915917293	659
33.0%	33000	-228789.39949583344	300.8635871391993	659
34.0%	34000	-228977.20053069596	299.74484345147806	659
35.0%	35000	-228852.25396225334	303.0331751359176	659
36.0%	36000	-228811.0860241484	302.0901091143961	659
37.0%	37000	-228917.94958904712	297.4596631758671	659
38.0%	38000	-228343.8126275523	291.55658280287065	659
39.0%	39000	-228725.9932551121	300.9086905410208	659
40.0%	40000	-228999.42008488113	301.8449481290824	659
41.0%	41000	-228808.7160631693	304.96019737144223	659
42.0%	42000	-229109.92065768281	299.20847174922307	659
43.0%	43000	-228558.16935669875	301.3639112397637	658
44.0%	44000	-228288.19848245115	300.74771021402233	659
45.0%	45000	-228480.1513671989	302.4302792193002	659
46.0%	46000	-228159.3787755171	292.6390099074807	659
47.0%	47000	-229340.70085839787	302.67915115181086	659
48.0%	48000	-228748.06485267507	298.35608851954817	659
49.0%	49000	-229203.45400923176	298.4730284282259	658
50.0%	50000	-229056.22876826255	304.46560137257586	658
51.0%	51000	-228849.39531151287	306.57338161372473	657
52.0%	52000	-228622.7534582693	299.72906750792424	657
53.0%	53000	-227670.8590724459	304.5453954815063	656
54.0%	54000	-228792.1418895364	299.5713245369633	656
55.0%	55000	-228822.44111018337	295.8516775460556	656
56.0%	56000	-229327.0219340421	300.7761301438491	656
57.0%	57000	-229227.23652170843	297.17312080619655	655
58.0%	58000	-229154.16610409098	297.0588288388759	655
59.0%	59000	-228741.74938739906	299.9423850720442	655
60.0%	60000	-228728.0923664939	295.9395478334096	655
61.0%	61000	-228626.6467209682	297.74290767943467	654
62.0%	62000	-228602.07141148555	300.66235103890676	654
63.0%	63000	-228451.14119034295	298.9691273123658	655
64.0%	64000	-229008.5010438566	299.2793473565997	654
65.0%	65000	-228844.1067640325	301.1725664813497	654
66.0%	66000	-229532.5094067643	298.95835550505825	653
67.0%	67000	-228864.44815760385	300.541867056617	653
68.0%	68000	-228713.96003480954	307.3500652803873	653
69.0%	69000	-228747.16832312045	298.16592101615225	652
70.0%	70000	-228838.97037061641	303.2505495543143	652
71.0%	71000	-229512.56643364008	303.4632485999462	652
72.0%	72000	-228818.5426169762	298.5204071202506	652
73.0%	73000	-228502.57888893702	300.276928138931	651
74.0%	74000	-228768.56645961653	303.3064672578757	650
75.0%	75000	-229017.9941443007	298.45165788750927	650
76.0%	76000	-228831.5077903478	299.97469163558264	650
77.0%	77000	-228858.5177768725	301.4938996961677	650
78.0%	78000	-228612.2021872386	303.1679112564948	650
79.0%	79000	-229003.9561323556	304.52163585132524	650
80.0%	80000	-228913.65198982193	299.70462047656633	650
81.0%	81000	-229077.0144378076	306.8787908859488	650
82.0%	82000	-228402.31632414914	301.99930389533796	649
83.0%	83000	-229056.40702616563	302.83635534057845	649
84.0%	84000	-228182.3561667957	301.4639506472966	649
85.0%	85000	-229343.30468507146	296.17666954867764	649
86.0%	86000	-228585.94995895016	297.8945036320565	648
87.0%	87000	-229184.353123534	299.0694589090664	648
88.0%	88000	-228846.07473812602	299.6193072815495	648
89.0%	89000	-228450.5893726243	298.5458338166294	648
90.0%	90000	-228767.9176030442	301.35981499026536	648
91.0%	91000	-229320.95935245825	300.61701335985725	648
92.0%	92000	-229363.19766463398	304.7756142207934	648
93.0%	93000	-228896.7113655915	300.1798773821856	648
94.0%	94000	-228558.25534349855	300.01211392698093	648
95.0%	95000	-228726.24524325598	302.664718369484	648
96.0%	96000	-229945.69012481743	304.4618666230306	648
97.0%	97000	-229063.54872379114	302.7789765333054	647
98.0%	98000	-229084.82174361066	309.24311460016344	647
99.0%	99000	-228674.85157515388	298.70739627091604	647
100.0%	100000	-229362.92573549855	304.1093368488898	647
