#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.1%	1000	-15222.448903687517	306.99195277699704	0
0.2%	2000	-15282.988241381303	293.05506083970755	1.09e+03
0.3%	3000	-15232.63506483323	307.6567323342973	1.08e+03
0.4%	4000	-15112.08866234051	305.6022839292029	1.12e+03
0.5%	5000	-15116.624589366256	312.35416877996806	1.14e+03
0.6%	6000	-15100.606918553349	303.4658583176942	1.18e+03
0.7%	7000	-15268.198204634973	290.61180456603483	1.19e+03
0.8%	8000	-15523.35152197862	293.200128345369	1.17e+03
0.9%	9000	-15413.539670968865	327.0433909175282	1.17e+03
1.0%	10000	-15323.137283720214	305.67632097007123	1.16e+03
1.1%	11000	-15232.309474497095	306.9430653007067	1.15e+03
1.2%	12000	-15084.635228867955	282.11114267839775	1.14e+03
1.3%	13000	-15293.690890996899	322.9274300666018	1.15e+03
1.4%	14000	-15104.58818826393	333.1622895648957	1.16e+03
1.5%	15000	-15303.210679502736	317.34657221565925	1.17e+03
1.6%	16000	-15118.925419161977	301.02665750597265	1.18e+03
1.7%	17000	-15228.231792005223	324.22831955259426	1.19e+03
1.8%	18000	-15168.621637134063	297.9430610351832	1.2e+03
1.9%	19000	-15358.12576166106	307.63542595602763	1.21e+03
2.0%	20000	-15273.29879704192	319.2405076063725	1.23e+03
2.1%	21000	-15477.410051834158	304.4252180345451	1.23e+03
2.2%	22000	-15050.228388916752	295.32091416740616	1.24e+03
2.3%	23000	-15130.023849052013	308.97862871550177	1.25e+03
2.4%	24000	-15239.928761147836	288.6748786188911	1.25e+03
2.5%	25000	-15287.900997312136	309.31207503471416	1.25e+03
2.6%	26000	-15315.942766684093	290.509075170235	1.26e+03
2.7%	27000	-15225.758119280676	298.0474975064584	1.26e+03
2.8%	28000	-15183.11321545647	309.0627746772511	1.26e+03
2.9%	29000	-15389.099223914338	308.8709140483133	1.26e+03
3.0%	30000	-15353.278119036586	281.26173357318044	1.27e+03
3.1%	31000	-15171.411636162142	295.5903753937456	1.27e+03
3.2%	32000	-15315.939744386123	305.55033150584944	1.26e+03
3.3%	33000	-15114.59146533964	292.1111210029197	1.26e+03
3.4%	34000	-15115.527329204953	318.02983784404404	1.26e+03
3.5%	35000	-15093.756742114325	302.8059299847325	1.25e+03
3.6%	36000	-15226.576967397152	295.56567237215864	1.24e+03
3.7%	37000	-15279.485625581401	303.4740600753388	1.24e+03
3.8%	38000	-15147.031673921316	296.64731806978006	1.25e+03
3.9%	39000	-15247.771007395386	309.0279682149079	1.25e+03
4.0%	40000	-15455.196260473509	311.0706754258918	1.25e+03
4.1%	41000	-15299.057325118316	301.353861158548	1.25e+03
4.2%	42000	-15339.04528131806	280.2292079333825	1.25e+03
4.3%	43000	-15279.90568850888	287.79484642395045	1.25e+03
4.4%	44000	-15163.86907029141	304.90409852548487	1.25e+03
4.5%	45000	-15232.822829369296	295.2679123477832	1.25e+03
4.6%	46000	-15200.247010746927	299.0265377701498	1.25e+03
4.7%	47000	-15288.467012749155	312.02371000072264	1.25e+03
4.8%	48000	-15256.454162599344	292.5379395541082	1.25e+03
4.9%	49000	-15221.529366013841	278.27890674600536	1.26e+03
5.0%	50000	-15207.89057191131	301.116369949342	1.26e+03
5.1%	51000	-15444.907978446965	329.9629668677848	1.26e+03
5.2%	52000	-15208.921561232135	296.2694641877417	1.26e+03
5.3%	53000	-15310.432459082884	301.554256818329	1.25e+03
5.4%	54000	-15280.684304302988	282.7372890075535	1.25e+03
5.5%	55000	-15139.744705045705	294.61526424969134	1.26e+03
5.6%	56000	-15431.454080340358	280.3986093229564	1.26e+03
5.7%	57000	-15230.924556302998	302.59333787264194	1.26e+03
