#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.1%	1000	-754033.6371708856	301.7259284701343	0
0.2%	2000	-754967.4643593177	314.462391565683	737
0.3%	3000	-755838.5984609148	308.6791333060822	691
0.4%	4000	-755629.5389586348	300.7856494067225	651
0.5%	5000	-755938.4370652074	291.7487408799605	639
0.6%	6000	-755965.798996802	309.7260232025729	652
0.7%	7000	-756392.4146373773	296.99560231490614	652
0.8%	8000	-756519.6519700537	309.76500909516295	651
0.9%	9000	-756302.9073063552	292.2656565798641	650
1.0%	10000	-756542.1167479932	293.87786419827603	643
1.1%	11000	-756822.1523007918	311.0737622153132	642
1.2%	12000	-756583.9324296885	312.64578392612736	630
1.3%	13000	-756658.0568436534	304.98899447456466	631
1.4%	14000	-756677.3805875346	304.33133533068764	629
1.5%	15000	-756755.1480394657	317.51609843196377	630
1.6%	16000	-756640.569876845	298.11618576536625	628
1.7%	17000	-757004.505881818	302.8694175052468	628
1.8%	18000	-756767.3122421955	292.5171483479032	627
1.9%	19000	-756828.3515752163	289.17764119986794	625
2.0%	20000	-756957.325170753	314.8181763784328	625
2.1%	21000	-756992.2031960965	307.80785158066067	624
2.2%	22000	-756863.2424550022	301.82411650973603	624
2.3%	23000	-756889.8848365408	303.4430219385918	623
2.4%	24000	-756992.5034413597	299.4068713132802	623
2.5%	25000	-757048.5734076529	323.2428741826209	622
2.6%	26000	-757010.9555255959	291.67196034538847	620
2.7%	27000	-757216.6992931573	292.4839653128602	619
2.8%	28000	-757173.1023665568	296.3135363490085	619
2.9%	29000	-757354.4505989704	303.8951536935471	619
3.0%	30000	-757430.8888288961	299.2547482461872	617
3.1%	31000	-757213.9233782892	291.9083546993128	615
3.2%	32000	-757465.8943800267	298.8406976055558	618
3.3%	33000	-757461.8285938492	303.3697188299866	617
3.4%	34000	-757361.2342528416	297.7408511152239	616
3.5%	35000	-757420.6523824881	299.6722404448011	617
3.6%	36000	-757801.545586326	297.8740744566244	614
3.7%	37000	-757425.5882182517	299.1536895560533	613
3.8%	38000	-757639.3446781569	299.2390596375658	610
3.9%	39000	-757530.2620954385	299.1442084461205	608
4.0%	40000	-757254.2526161837	299.1998401364887	608
4.1%	41000	-757333.8338038111	307.32522785193987	605
4.2%	42000	-757696.9064746968	300.51502902961755	604
4.3%	43000	-757659.476792888	304.19205584211807	601
4.4%	44000	-757580.2544412583	293.7304763893474	601
4.5%	45000	-757636.5000810835	300.80647631251657	601
4.6%	46000	-757581.6331427738	297.51204465806677	600
4.7%	47000	-757535.3274674612	301.2885340586877	599
4.8%	48000	-757513.9165763308	300.77241866682044	597
4.9%	49000	-757636.6086949373	311.1432301583567	595
5.0%	50000	-757731.987840306	284.9864733471551	595
5.1%	51000	-757514.6527088302	298.4136016872804	594
5.2%	52000	-757599.3600846292	297.5049385095849	593
5.3%	53000	-757602.4453753586	291.8868884528116	592
5.4%	54000	-757539.5463811245	304.852382025163	592
5.5%	55000	-757615.4926132876	308.5420129052781	592
5.6%	56000	-757420.5690373639	294.45243745692744	593
5.7%	57000	-757364.5231511348	301.192359939847	594
5.8%	58000	-757342.8057833639	295.0004563384668	595
5.9%	59000	-757488.4592061727	293.27177467100927	594
6.0%	60000	-757701.2164232375	303.0832485965335	594
6.1%	61000	-757593.4350065086	301.9773565565745	593
6.2%	62000	-757704.6717242613	298.2483529838937	594
6.3%	63000	-757524.2032796636	283.5514137729796	594
6.4%	64000	-757443.1081930287	306.60453514661015	594
6.5%	65000	-757845.2816227257	295.62628361036917	594
6.6%	66000	-757660.3375792978	282.3252142937388	593
6.7%	67000	-757657.0718981967	310.60752430845577	594
6.8%	68000	-757509.1286978838	298.6885397186003	594
6.9%	69000	-757686.9116663113	295.404462706563	594
7.0%	70000	-757729.9508581326	295.23507732740563	594
7.1%	71000	-757860.2622048272	299.227809241599	593
7.2%	72000	-757893.4511487188	303.479593223435	593
7.3%	73000	-757875.6622379805	301.6701336242076	593
7.4%	74000	-757826.5002155653	299.49276085743753	594
7.5%	75000	-757592.0628043395	290.8643192206451	595
7.6%	76000	-757765.5644267101	306.2343920663104	594
7.7%	77000	-757889.4209741845	294.0051987166532	594
7.8%	78000	-757724.3962858731	296.1162113304722	595
7.9%	79000	-757792.652844233	309.4362995153003	595
8.0%	80000	-758002.9962861686	304.761851507955	597
8.1%	81000	-757675.0157905698	304.6211498807075	597
8.2%	82000	-757806.8366680548	304.35678407697276	597
8.3%	83000	-757915.0296125631	300.3550261164077	596
8.4%	84000	-757501.1062094446	301.1545139628048	597
8.5%	85000	-757897.6710249574	294.6012155847891	597
8.6%	86000	-758094.1245122817	297.3091157274596	596
8.7%	87000	-758129.2461001582	292.30756803643493	596
8.8%	88000	-757611.1644209824	293.7567417730776	594
8.9%	89000	-758090.7873467738	310.6224696883992	594
9.0%	90000	-757973.0190906585	304.58741991764026	594
9.1%	91000	-757772.42713166	298.02306578472064	594
9.2%	92000	-757751.3850857054	302.2598863561301	593
9.3%	93000	-757815.7738244431	290.4797429192812	592
9.4%	94000	-758082.9696896569	302.9866013557461	592
9.5%	95000	-758149.2944559292	298.7265937512848	592
9.6%	96000	-758108.7621448766	293.7909800577168	592
9.7%	97000	-757911.5464413312	312.027257498698	592
9.8%	98000	-757759.1588757348	308.14038191391427	590
9.9%	99000	-757983.3218255755	294.6223414236606	590
10.0%	100000	-757787.6767895068	315.58331095055036	590
10.1%	101000	-757943.6421211606	314.45890548944175	590
10.2%	102000	-757747.0622518861	301.91784570051124	590
10.3%	103000	-757730.8798921169	299.75707525977623	589
10.4%	104000	-758002.1930637936	307.13690496908873	589
10.5%	105000	-758118.7985975822	289.7211440262852	589
10.6%	106000	-757836.1400487351	302.63904716675324	589
10.7%	107000	-757767.7927278853	307.9360330107763	589
10.8%	108000	-758062.16844009	307.431546331841	588
10.9%	109000	-758101.3414143987	298.16655002420646	588
11.0%	110000	-758140.6623385082	296.80014376828774	588
11.1%	111000	-757802.347717448	293.2479535283742	587
11.2%	112000	-758106.2731838638	301.8343124742106	587
11.3%	113000	-757922.6668321588	310.8711384562855	586
11.4%	114000	-757904.1307809313	301.80538441556934	585
11.5%	115000	-758009.7446591337	297.8299409003778	585
11.6%	116000	-758131.9210168478	290.67532560965446	585
11.7%	117000	-758064.8321567322	303.0221170037786	586
11.8%	118000	-758070.631659651	312.91135315910526	585
11.9%	119000	-757883.2666444242	301.45275372852245	584
12.0%	120000	-758114.0753665571	307.7758502913722	583
12.1%	121000	-757959.9589248128	300.8886002218465	582
12.2%	122000	-758001.8002469649	294.23870313417285	582
12.3%	123000	-757914.4757643442	315.0624160650718	582
12.4%	124000	-757884.9270026109	301.3272038279033	582
12.5%	125000	-758122.754045032	296.40355772379536	583
12.6%	126000	-757897.2587976673	307.57676621913237	583
12.7%	127000	-758281.4069538801	293.8100029046383	583
12.8%	128000	-757983.7190009691	294.0146822497263	583
12.9%	129000	-758252.7063532263	301.3476482251432	584
13.0%	130000	-757984.1409083023	307.41530826359235	583
13.1%	131000	-757926.1145880785	297.7370263443057	584
13.2%	132000	-757995.6526190478	304.8028654836191	584
13.3%	133000	-758358.418158544	301.9549872995732	584
13.4%	134000	-758129.1444250823	308.66447382879	584
13.5%	135000	-758066.9384066775	298.5555619653037	585
13.6%	136000	-757961.5064046661	296.42643425099885	585
13.7%	137000	-757984.6248651706	300.6677567715613	585
13.8%	138000	-758113.3414382697	295.5919633037673	584
13.9%	139000	-758221.3629241409	300.0495023185478	584
14.0%	140000	-758287.8676658974	305.278202667867	585
14.1%	141000	-758281.4037078139	297.67027235182127	584
14.2%	142000	-758086.2945518885	299.6787119584316	583
14.3%	143000	-758318.4297562042	309.9482085569278	583
14.4%	144000	-758083.8361252267	305.16303695721064	583
14.5%	145000	-758079.3879771286	310.26796728368043	584
14.6%	146000	-758129.700505642	302.4744524710817	584
14.7%	147000	-757817.4068039624	296.11726311215494	583
14.8%	148000	-758245.2052786385	305.1988617419079	584
