Salt1,Salt2,DRH1,DRH2,Psi_a1,Theta_a1,MixtureType
CaCl2,KCl,0.31,0.855,-0.043188975,0.1156,Ca++-Cl--K+
CaCl2,NaCl,0.31,0.765,-0.003,0.05,Ca++-Cl--Na+
MgCl2,MgSO4,0.33,0.86,-0.00796,0.07032788,Cl--Mg++-SO4-- (anion mix)
NaCl,NaOH,0.765,0.23,-0.00601,-0.05,Cl--Na+-OH- (anion mix)
HCl,CsCl,0.17,0.82,-0.019,-0.044,H+-Cl--Cs+
HCl,KCl,0.17,0.855,-0.007,0.005,H+-Cl--K+
HCl,LiCl,0.17,0.12,0,0.015,H+-Cl--Li+
HCl,NaCl,0.17,0.765,-0.004,0.036,H+-Cl--Na+
LiCl,CsCl,0.12,0.82,0.009,-0.1242,Li+-Cl--Cs+
LiCl,KCl,0.12,0.855,-0.01,-0.0563,Li+-Cl--K+
LiCl,NaCl,0.12,0.765,-0.003,0.0029,Li+-Cl--Na+
NaBr,KBr,0.614,0.833,-0.002,-0.0032034932,Na+-Br--K+
CaCl2,HCl,0.31,0.17,-0.007111,0.092,Ca++-H+-Cl-
LiCl,CaCl2,0.12,0.31,-0.0099196,0.11907,Li+-Ca++-Cl-
CaCl2,MgCl2,0.31,0.33,0.005,0.007,Ca++-Mg++-Cl-
HCl,MgCl2,0.17,0.33,-0.008,0.1,H+-Mg++-Cl-
LiCl,MgCl2,0.12,0.33,0.00161,0.027558,Li+-Mg++-Cl-
NaCl,CaCl2,0.765,0.31,-0.008,0.05,Na+-Ca++-Cl-
NaCl,MgCl2,0.765,0.33,-0.012,0.07,Na+-Mg++-Cl-
KCl,CaCl2,0.855,0.31,-0.039,0.1156,K+-Ca++-Cl-
KCl,MgCl2,0.855,0.33,-0.017,0,K+-Mg++-Cl-
